prefecture,cases,death
tokyo,779,7
osaka,347,2
aichi,193,19
chiba,192,1
hokkaido,190,8
kanagawa,182,6
hyogo,172,11
saitama,131,4
kyoto,91,0
fukuoka,70,0
quarantinedAtAirport,65,0
fukui,40,1
gifu,39,0
niigata,32,0
oita,30,0
ibaraki,26,2
gunma,24,1
ishikawa,24,0
kochi,21,0
wakayama,21,1
nara,21,0
charteredFlight,15,0
kumamoto,15,0
tochigi,14,0
shiga,14,0
miyagi,13,0
mie,12,0
ehime,11,0
nagano,10,0
aomori,10,0
okinawa,9,0
yamanashi,9,0
fukushima,9,0
akita,9,0
okayama,9,0
toyama,8,0
hiroshima,8,0
shizuoka,8,0
yamaguchi,7,0
nagasaki,7,0
saga,5,0
miyazaki,4,0
tokushima,3,0
kagoshima,3,0
kagawa,2,0
yamagata,1,0
iwate,0,0
tottori,0,0
shimane,0,0
