都道府県名,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04
東京都,436,449,527,593,690,779
大阪府,209,217,245,279,312,347
愛知県,167,170,176,181,186,193
千葉県,160,160,164,175,181,192
北海道,176,177,177,182,185,190
神奈川県,107,115,120,138,153,182
兵庫県,132,136,147,161,167,172
埼玉県,83,84,98,101,113,131
京都府,46,54,68,71,79,91
福岡県,22,23,43,52,62,70
チャーター便帰国者事例,31,51,56,60,61,65
新潟県,13,15,16,22,31,40
岐阜県,21,21,22,22,22,39
福井県,31,31,31,31,31,32
大分県,28,28,29,29,30,30
茨城県,16,20,24,24,26,26
和歌山県,18,18,19,20,20,24
石川県,9,11,13,15,16,24
高知県,14,15,17,20,21,21
群馬県,17,17,17,18,20,21
奈良県,11,11,11,15,19,21
熊本県,15,15,15,15,15,15
空港検疫,10,11,14,15,15,15
栃木県,12,12,14,14,14,14
富山県,6,6,7,8,8,14
三重県,2,6,7,7,12,13
宮城県,9,11,11,11,12,12
愛媛県,4,4,9,9,11,11
青森県,8,8,8,9,9,10
沖縄県,7,7,8,8,9,10
山梨県,8,9,9,9,9,9
長野県,4,5,6,8,9,9
福島県,2,2,4,6,8,9
岡山県,4,4,6,6,7,9
秋田県,3,4,4,4,7,9
滋賀県,0,1,3,5,8,8
山口県,6,6,6,6,6,8
広島県,4,4,6,6,6,8
静岡県,6,6,6,6,6,7
長崎県,2,2,2,5,5,7
佐賀県,1,1,2,4,4,5
鹿児島県,3,3,3,5,3,4
宮崎県,1,1,3,3,3,3
徳島県,1,1,1,2,3,3
香川県,1,1,2,2,2,2
山形県,0,0,1,1,1,1
岩手県,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0
島根県,0,0,0,0,0,0
