都道府県名,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04
東京都,5,6,6,7,7,7
大阪府,2,2,2,2,2,2
愛知県,19,19,19,19,19,19
千葉県,1,1,1,1,1,1
北海道,7,7,7,7,8,8
神奈川県,5,6,6,6,6,6
兵庫県,10,10,11,11,11,11
埼玉県,3,3,3,4,4,4
京都府,0,0,0,0,0,0
福岡県,0,0,0,0,0,0
チャーター便帰国者事例,0,0,0,0,0,0
新潟県,0,0,0,0,1,1
岐阜県,0,0,0,0,0,0
福井県,0,0,0,0,0,0
大分県,0,0,0,0,0,0
茨城県,0,0,0,1,2,2
和歌山県,1,1,1,1,1,1
石川県,0,0,0,0,0,0
高知県,0,0,0,0,0,0
群馬県,1,1,1,1,1,1
奈良県,0,0,0,0,0,0
熊本県,0,0,0,0,0,0
空港検疫,0,0,0,0,0,0
栃木県,0,0,0,0,0,0
富山県,0,0,0,0,0,0
三重県,0,0,0,0,0,0
宮城県,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0
青森県,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0
山梨県,0,0,0,0,0,0
長野県,0,0,0,0,0,0
福島県,0,0,0,0,0,0
岡山県,0,0,0,0,0,0
秋田県,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0
山口県,0,0,0,0,0,0
広島県,0,0,0,0,0,0
静岡県,0,0,0,0,0,0
長崎県,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0
徳島県,0,0,0,0,0,0
香川県,0,0,0,0,0,0
山形県,0,0,0,0,0,0
岩手県,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0
島根県,0,0,0,0,0,0
