prefecture,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27
tokyo,5,6,6,7,7,7,7,12,16,16,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
osaka,2,2,2,2,2,2,2,3,3,3,6,6,6,6,6,6,7,8,8,8,8,12,13,15,17,19,23,23,27
aichi,19,19,19,19,19,19,19,20,21,21,21,21,22,22,22,23,24,24,24,25,25,25,27,27,29,29,30,30,30
chiba,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,5,5,6,6,7,8,8,11,11,16,16,16,19
hokkaido,7,7,7,7,8,8,8,8,9,9,9,10,11,11,11,11,12,13,14,14,14,18,18,21,22,25,25,25,25
kanagawa,5,6,6,6,6,6,6,6,6,7,6,6,6,6,7,12,14,15,16,17,17,17,19,19,23,24,24,25,26
hyogo,10,10,11,11,11,11,11,11,12,12,12,12,12,13,13,14,15,15,17,17,17,17,17,17,17,17,17,17,17
saitama,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,7,7,9,10,10,9,9,10,10,14,14,14,16
kyoto,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,5,6,7,7,7,7,7
fukuoka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,10,13,13,13,13,13,13,15
quarantinedAtAirport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,5,5,5,5
gifu,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,5,5,7
niigata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
ibaraki,0,0,0,1,2,2,2,2,2,1,2,2,3,3,3,3,3,5,5,5,5,5,6,6,6,6,6,6,6
gunma,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4,4,5,5,9,9,9,9,9,9
ishikawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,5,5,5,5,5,5
kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2
wakayama,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
charteredFlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kumamoto,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tochigi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shiga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
miyagi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
